,h,e,x,a,c,o,type
0,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
1,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
3,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
4,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
5,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
6,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
7,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
8,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
9,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
10,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
11,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
12,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
13,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
14,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
15,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
16,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
17,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
18,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
19,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
20,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
21,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
22,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
23,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
24,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
25,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
26,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
27,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
28,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
29,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
30,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
31,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
32,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
33,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
34,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
35,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
36,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
37,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
38,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
39,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
40,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
41,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
42,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
43,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
44,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
45,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
46,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
47,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
48,-0.03480816,0.008179154,0.016204856,0.0014436617,0.03248715,-0.009364948,ISFJ
49,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
50,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
51,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
52,-0.03480816,0.008179154,0.016204856,0.0014436617,0.03248715,-0.009364948,ISFJ
53,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
54,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
55,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
56,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
57,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
58,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
59,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
60,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
61,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
62,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
63,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
64,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
65,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
66,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
67,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
68,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
69,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
70,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
71,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
72,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
73,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
74,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
75,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
76,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
77,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
78,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
79,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
80,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
81,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
82,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
83,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
84,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
85,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
86,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
87,-0.03480816,0.008179154,0.016204856,0.0014436617,0.03248715,-0.009364948,ISFJ
88,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
89,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
90,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
91,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
92,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
93,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
94,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
95,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
96,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
97,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
98,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
99,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
100,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
101,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
102,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
103,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
104,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
105,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
106,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
107,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
108,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
109,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
110,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
111,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
112,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
113,0.11480044,0.11391677,0.115639746,0.10445404,0.09840545,0.08285391,ESTP
114,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
115,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
116,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
117,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
118,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
119,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
120,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
121,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
122,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
123,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
124,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
125,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
126,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
127,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
128,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
129,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
130,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
131,-0.03480816,0.008179154,0.016204856,0.0014436617,0.03248715,-0.009364948,ISFJ
132,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
133,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
134,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
135,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
136,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
137,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
138,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
139,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
140,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
141,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
142,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
143,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
144,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
145,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
146,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
147,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
148,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
149,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
150,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
151,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
152,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
153,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
154,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
155,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
156,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
157,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
158,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
159,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
160,0.11480044,0.11391677,0.115639746,0.10445404,0.09840545,0.08285391,ESTP
161,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
162,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
163,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
164,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
165,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
166,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
167,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
168,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
169,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
170,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
171,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
172,-0.03480816,0.008179154,0.016204856,0.0014436617,0.03248715,-0.009364948,ISFJ
173,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
174,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
175,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
176,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
177,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
178,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
179,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
180,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
181,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
182,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
183,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
184,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
185,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
186,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
187,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
188,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
189,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
190,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
191,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
192,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
193,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
194,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
195,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
196,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
197,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
198,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
199,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
200,0.031167686,-0.016246188,0.0067409575,0.06438259,0.036675483,0.071129635,ESFP
201,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
202,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
203,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
204,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
205,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
206,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
207,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
208,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
209,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
210,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
211,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
212,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
213,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
214,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
215,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
216,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
217,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
218,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
219,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
220,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
221,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
222,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
223,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
224,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
225,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
226,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
227,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
228,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
229,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
230,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
231,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
232,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
233,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
234,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
235,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
236,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
237,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
238,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
239,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
240,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
241,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
242,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
243,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
244,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
245,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
246,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
247,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
248,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
249,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
250,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
251,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
252,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
253,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
254,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
255,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
256,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
257,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
258,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
259,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
260,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
261,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
262,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
263,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
264,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
265,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
266,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
267,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
268,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
269,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
270,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
271,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
272,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
273,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
274,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
275,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
276,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
277,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
278,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
279,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
280,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
281,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
282,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
283,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
284,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
285,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
286,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
287,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
288,-0.0076450333,-0.008762319,-0.045343436,-0.07187032,-0.009553857,-0.043465376,ENTJ
289,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
290,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
291,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
292,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
293,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
294,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
295,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
296,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
297,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
298,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
299,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
300,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
301,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
302,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
303,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
304,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
305,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
306,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
307,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
308,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
309,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
310,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
